Science;Luonnon-tieteet
Analyyttinen kemia; Analytical Chemistry
Wave amplitude;Aallon amplitudi
Wave speed;Aallon nopeus
Wave frequency;Aallon taajuus
Wavelength;Aallonpituus
Wave characteristics - generally;Aaltojen ominaisuudet – yleisesti
Pitch;Äänen korkeus
Properties of sound - generally;Äänen ominaisuudet – yleisesti
Loudness;Äänen voimakkuus
Sound ;Ääni
Sound sources;Äänilähteet
Sound techniques;Äänitekniikka
Asia;Aasia
Adiabatic;Adiabaattinen
Africa;Afrikka
Space-time symmetries ;Aika-avaruuden symmetriat
Space-Time Information;Aika-avaruustiedot
Conservation of mass;Aineen häviämättömyyden laki
States of matter;Aineen olomuodot
Senses;Aistit
Brain;Aivot
Topical geographical issues;Ajankohtaiset maantieteelliset kysymykset
Alpha radiation;Alfasäteily
Aliphatic Compounds;Alifaattiset yhdisteet
Alkali metals;Alkalimetallit
Elements;Alkuaineet
regional language ;alueellinen kieli
regional geography ;alueellinen maantiede
Regional scale;Alueellinen mittakaava
Ampere's law;Ampèren laki
Analysis Tools;Analyysivälineet
Anatomia;Anatomy
Antimatter ;Antimateria
Aromatic Compounds;Aromaattiset yhdisteet
Stimulus and response;Ärsyke ja vaste
Asteroids;Asteroidit
Asteroid belt;Asteroidivyöhyke
Astrobiology;Astrobiologia
Astrometry;Astrometria
Astronauts;Astronautit
Tähtitiede;Astronomy
Location of settlements;Asutuksen sijainti
Settlements: size/character/function;Asutusalueet: koko/luonne/tarkoitus
Settlements: change;Asutusalueet: muutos
Atomic Absorption Spectroscopy;Atomiabsorptiospektrometria
Atomic structure;Atomirakenne
Atoms – generally;Atomit – yleisesti
Nucleus: protons, neutrons;Atomiydin: protonit, neutronit
Solar activity;Auringon aktiivisuus
Solar-terrestrial relations;Auringon ja maan suhteet
Sunspots;Auringonpilkut
Solar eclipse;Auringonpimennys
Sun;Aurinko
Solar system;Aurinkokunta
Desert ;Autiomaa
Space ships;Avaruusalukset
Space stations;Avaruusasemat
Space flight;Avaruuslento
Open clusters;Avoimet tähtijoukot
Beta radiation;Beetasäteily
Big Bang;Big Bang
Biology;Biologia
Biomass;Biomassa
Biomes;Biomit
Biosphere;Biosfääri
Biotechnology;Biotekniikka
Biotope;Biotooppi
Kasvitiede;Botany
Kemialliset reaktiot;Chemical Reactions
Ilmasto;Climate 
Coulomb law;Coulombin laki
Darwin;Darwin
Diffraction;Diffraktio
Dinosaur;Dinosaurus
DNA;DNA
Doppler effect;Dopplerin ilmiö
Dynamic Shape;Dynaaminen muoto
Dynamometers;Dynamometrit
Geotieteet;Earth science
Ekologia;Ecology
Einstein ring;Einsteinin rengas
Ecology ;Ekologia
Ecosystem ;Ekosysteemi
Ecosystems;Ekosysteemit
Exo/endothermic;Ekso/endoterminen
Extrasolar planets;Eksoplaneetat
Animal;Eläin
Zodiac;Eläinrata
Zodiacal light;Eläinratavalo
Breeding;Eläinten kasvatus
Zoology ;Eläintiede
Life cycle;Elämänkierto
Elastic collision;Elastinen törmäys
Sähkö ja magnetismi;Electricity and magnetism
Electrolysis;Elektrolyysi
Role of electrons in reactions;Elektronien rooli reaktioissa
Electrons – generally;Elektronit – yleisesti
Organs;Elimet
Elliptical galaxy;Elliptinen galaksi
Energy - using electricity;Energia – sähkön käyttö
Energy and ecosystems;Energia ja ekosysteemit
Energy transfer and storage;Energian siirto ja varastointi
Energy production and energy resources research;Energiantuotannon ja energiavarojen tutkimus
Energy resources;Energiavarat
Energia;Energy
Energia;Energy 
First scientific revolution;Ensimmäinen tieteellinen vallankumous
Entropy;Entropia
Enzymes;Entsyymit
Ympäristö;Environment 
Ympäristönsuojelu;Environmental protection
Inelastic collision;Epäelastinen törmäys
Irregular galaxy;Epäsäännöllinen galaksi
Epithelial;Epiteeli
Erosion;Eroosio
Separation - other;Erotus – muuta
Separation - generally;Erotus – yleisesti
Remote Laboratories;Etälaboratoriot
South & Central America;Etelä- ja Keski-Amerikka
Antarctica;Etelämanner
European Union;Euroopan unioni
European countries outside the European Union;Euroopan unionin ulkopuoliset Euroopan maat
Evolution - generally;Evoluutio – yleisesti
Pharmaceutics;Farmasia
Kentät;Fields
Nuclear fission;Fissio
Voimat ja liike;Forces and motion
fossil ;fossiili
Fossil record;Fossiiliaineisto
Fossil resources - generally;Fossiiliset luonnonvarat – yleisesti
Fossil fuels;Fossiiliset polttoaineet
Fossil resources - generally;Fossiiliset varannot  – yleisesti
Photosynthesis;Fotosynteesi
Foucault pendulum;Foucault'n heiluri
Nuclear fusion;Fuusio
Physics;Fysiikka
Physical changes;Fysikaaliset muutokset
Physical constants ;Fysikaaliset vakiot
Physical patterns;Fyysiset mallit
Physical processes;Fyysiset prosessit
Intergalactic medium;Galaksien välinen aine
Galaxy clusters;Galaksijoukot
Galaxies and Dwarf galaxies;Galaksit ja kääpiögalaksit
Galactic wind;Galaktinen tuuli
Gamma ray bursts;Gammapurkaukset
Gamma rays;Gammasäteet
Gamma radiation;Gammasäteily
Genetic engineering;Geenitekniikka
Generators and transformers;Generaattorit ja muuntajat
Genetics;Genetiikka
Genome;Genomi
Geophysical environment;Geofyysinen ympäristö
Maantiede;Geography
geology ;geologia
geological phenomenon ;geologinen ilmiö
geomorphologic phenomenon ;geomorfologinen ilmiö
Geomorphological processes - general information;Geomorfologiset prosessit – yleistä tietoa
exploration of the earth ;geotieteellinen tutkimus
Global scale;Globaali mittasuhde
Gravitational lenses;Gravitaatiolinssit
Pancreas;Haima
Halogens;Halogeenit
Arachnid;Hämähäkkieläin
Teeth;Hampaat
Oxidation and reaction;Hapettuminen ja reaktio
Acids, alkalis and bases;Hapot, alkalit ja emäkset
Acid rain ;Happosade
Fruit;Hedelmä
Fertilisation;Hedelmöitys
Reflection;Heijastuminen
Weak interactions: quarks & leptons;Heikot vuorovaikutukset: kvarkit ja leptonit
Weak interactions: electroweak ;Heikot vuorovaikutukset: sähköheikko
Pendulum;Heiluri
Nerve;Hermo
Nervous system ;Hermosto
Hertzsprung-Russell diagram;Hertzsprungin-Russellin kaavio
Heterocyclic Compounds;Heterosykliset yhdisteet
Higgs particle ;Higgsin hiukkanen
Suurenergiafysiikka;High Energy Physics
HII region;HII-alue
Carbon and nitrogen cycles;Hiilen ja typen kierto
Carbon;Hiili
Hydrocarbons;Hiilivedyt
Tieteen ja tekniikan historia;History of Science and Technology
Moment of inertia;Hitausmomentti
Particle dynamics ;Hiukkasdynamiikka
Particle detectors ;Hiukkasilmaisimet
Particle cosmology ;Hiukkaskosmologia
Particle beam parameters ;Hiukkassäteiden parametrit
Particle interactions with matter ;Hiukkasten vuorovaikutus aineen kanssa
Particle theory;Hiukkasteoria
Horology;Horologia
Hubble expansion;Hubblen laajeneminen
Ihmiset ja eläimet;Humans and animals
Insect;Hyönteinen
Human influences on ecosystems;Ihmisen vaikutus ekosysteemeihin
Human health: teeth;Ihmisten terveys: hampaat
Human health: smoking;Ihmisten terveys: tupakointi
air ;ilma
Detectors;Ilmaisimet
Detectors: CCD camera;Ilmaisimet: CCD-kamerat
atmospheric phenomenon ;ilmakehän ilmiö
Atmospheric Pressure;Ilmanpaine
Air resistance;Ilmanvastus
Climate;Ilmasto
Climatic phenomenon ;Ilmastollinen ilmiö
Climatic influences on ecosystems;Ilmaston vaikutus ekosysteemeihin
Climatic phenomenon ;Ilmastoon liittyvä ilmiö
Impulse;Impulssi
Inertia;Inertia
Inflation;Inflaatio
Infrared;Infrapuna
Human patterns;Inhimilliset mallit
Human processes;Inhimilliset prosessit
Epäorgaaninen kemia;Inorganic chemistry 
Insulin;Insuliini
Integumentary System;Integumentti
Ionic bonds;Ionisidokset
Isothermal;Isoterminen
Isovolumetric ;Isovolyyminen
Periodic table;Jaksollinen järjestelmä
Voltage;Jännite
Lake ;Järvi
Waste management ;Jätehuolto
Giants;Jättiläiset
Rigid body;Jäykkä kappale
Rivers;Joet
Conduction, convection and evaporation;Johtuminen, konvektio ja haihtuminen
Drinking water;Juomavesi
Root hair;Juurikarvat
Gas;Kaasu
Atmospheres;Kaasukehät
Gas pressure and diffusion;Kaasun paine ja diffuusio
Mining;Kaivostoiminta
Mining ;Kaivostoiminta
Binary stars;Kaksoistähdet
Fish ;Kala
Fishery;Kalastus
