Business Studies;Διοίκηση Επιχειρήσεων
Production;Παραγωγή
Corporates Restructuring;Αναδιάρθρωση Επιχειρήσεων
Market Analysis;Ανάλυση Αγοράς
Financial Statement Analysis;Ανάλυση Λογιστικών Καταστάσεων
Break-Even Analysis;Ανάλυση νεκρού σημείου
Systems Analysis;Ανάλυση Συστημάτων
Competition;Ανταγωνισμός
Delegation;Αντιπροσωπεία
Allocative Efficiency;Αποδοτική διάθεση των πόρων
Market Failure;Αποτυχία της αγοράς
Negotiation Skills;Δεξιότητες Διαπραγμάτευσης
Self-motivation Skills;Δεξιότητες παροχής κινήτρου
Creative Thinking;Δημιουργική Σκέψη
Public Relations;Δημόσιες σχέσεις
Fiscal Policy;Δημοσιονομική Πολιτική
Negotiation;Διαπραγμάτευση
Negotiation and Auction Analysis;Διαπραγμάτευση και  ανάλυση δημοπρασίας
Market Structure;Διάρθρωση της αγοράς
Change Management;Διαχείριση Αλλαγών
Knowledge Management;Διαχείριση Γνώσης
Data and Information Management;Διαχείριση δεδομένων και πληροφοριών
Project Management;Διαχείριση έργου
Risk Management;Διαχείριση Κινδύνου
Cost Management;Διαχείριση Κόστους
Value-Based Management;Διαχείριση με βάση την αξία
Customer Relationship Management;Διαχείριση Πελατειακών Σχέσεων
Resource Management;Διαχείριση Πόρων
Marketing Management;Διαχείριση Προώθησης 
International Trade;Διεθνές Εμπόριο
International Marketing;Διεθνές Μάρκετινγκ
International Accounting Standards;Διεθνή Λογιστικά Πρότυπα
International Finance;Διεθνή Οικονομικά
Contestability;Διεκδικήσιμο
Competition Law;Δίκαιο Ανταγωνισμού
Business Law;Δίκαιο των Επιχειρήσεων
Human Resource Management;Διοίκηση Ανθρώπινου Δυναμικού
Business Management;Διοίκηση Επιχειρήσεων
Business Studies;Διοίκηση Επιχειρήσεων
Operations Management;Διοίκηση Επιχειρήσεων
National Economy;Εθνικής Οικονομίας
Entrepreneurship Education;εκπαίδευση στην επιχειρηματικότητα
Free Trade;Ελεύθερες Συναλλαγές
Inspiring Followership;Εμπνέοντας  followership
Marketing;εμπορία
Commercial and Investment Banking;Εμπορική και Επενδυτική Τραπεζική
Professional Development;Επαγγελματική Ανάπτυξη
Investment Decisions;Επενδυτικές αποφάσεις
Communications and Interpersonal Skills;Επικοινωνίες και Διαπροσωπικές Δεξιότητες
Conflict Resolution;Επίλυση Συγκρούσεων
Decision Science;Επιστήμη απόφαση
Entrepreneurial Process;Επιχειρηματική διαδικασία
Business Ethics;Επιχειρηματική Ηθική
Private Equity and Venture Capital;Επιχειρηματικό κεφάλαιο
Business Software;Επιχειρηματικό λογισμικό
Enterprise;Επιχείρηση
Employment Law and Legislation;Εργατικό Δίκαιο και Νομοθεσία
Data Interpretation;Ερμηνεία των δεδομένων
Corporate Finance;Εταιρικά Οικονομικά
Corporate Structures;Εταιρικές δομές
European Union;Ευρωπαϊκή Ένωση
Electronic Communication;Ηλεκτρονικές Επικοινωνίες
e-Government;Ηλεκτρονική διακυβέρνηση 
E-Commerce;Ηλεκτρονικό εμπόριο 
E-Business;Ηλεκτρονικό επιχειρείν 
Data privacy;Ιδιωτικά Δεδομένα 
Balance of Payments;Ισοζύγιο πληρωμών
Balance Sheets;Ισολογισμοί
Power and Politics;Ισχύς και Πολιτική
Coaching;Καθοδήγηση ομάδας
Innovation;Καινοτομία
Distribution Channels;Κανάλια Διανομής
Regulations;Κανονισμοί
Trading regulations;Κανονισμοί Εμπορίου 
Capital Markets;Κεφαλαιαγορές
Working Capital;Κεφάλαιο Κίνησης
Social Networks;Κοινωνικά Δίκτυα
Social Entrepreneurship;Κοινωνική Επιχειρηματικότητα
Circular Flow of Income and Multiplier Effect;Κυκλική ροή εισοδήματος και πολλαπλασιαστικό αποτέλεσμα
Decision Making Under Uncertainty;Λήψη αποφάσεων υπό συνθήκες αβεβαιότητας
Accounting and Financial Ratios;Λογιστική και Χρηματοοικονομικοί Δείκτες
Accounting;Λογιστική
Macroeconomic Policy;Μακροοικονομική Πολιτική
Growing a business;Μεγαλώνοντας μια επιχείρηση
Business Size;Μέγεθος εταιρίας
Measures of Development;Μέτρα Ανάπτυξης
Performance Measurement;Μέτρηση Απόδοσης
Monetary Policy;Νομισματική πολιτική
Economies of Scale;Οικονομίες κλίμακας
Economics of Work and Leisure;Οικονομικά της Εργασίας και Αναψυχή
Business Economics;Οικονομικά των Επιχειρήσεων
Development Economics;Οικονομική Ανάπτυξη
Economic Efficiency;Οικονομική αποδοτικότητα
Economic Management;Οικονομική Διαχείριση
Transport Economics;Οικονομική των Μεταφορών
Teams and Groups;Ομάδες
Vision and Mission;Όραμα και Αποστολή
Organizational Evolution and Growth;Οργανωτική Εξέλιξη και Ανάπτυξη
Organizational Innovation;Οργανωτική καινοτομία
Organizational Culture;Οργανωτική Κουλτούρα
Organizational Learning;Οργανωτική μάθηση
Organizational Behaviour and Leadership;Οργανωτική Συμπεριφορά και Ηγεσία
Benefits and Implications of International trade;Οφέλη και επιπτώσεις του διεθνούς εμπορίου
Global Economics;Παγκόσμια Οικονομία
Globalisation;Παγκοσμιοποίηση
Productive Efficiency;Παραγωγική αποτελεσματικότητα
Sources of Funds;Πηγές κεφαλαίων
Inflation;Πληθωρισμός
Intellectual Property;Πνευματική Ιδιοκτησία
Supply Side Policy;Πολιτική Προμηθειών
Forecasting;Πρόβλεψη
Protecting Ideas;Προστασία Ιδεών
Protectionism;Προστατευτισμός
Budgets;Προϋπολογισμοί
B2B (Business to Business) Marketing;Προώθηση Επιχείρηση προς Επιχείρηση B2B (Business to Business) 
B2C (Business to Consumer) Marketing;Προώθηση Επιχείρηση προς Καταναλωτή B2C (Business to Consumer) 
Sense of Initiative and Entrepreneurship;Πρωτοβουλία και επιχειρηματικότητα
Sales;Πωλήσεις
Stability and Policy Effectiveness;Σταθερότητα και την αποτελεσματικότητα της πολιτικής
Statistical Methods;Στατιστικές Μέθοδοι
Branding strategies;Στρατηγικές Branding
Retailing Strategies;Στρατηγικές Retailing
Communication Strategies;Στρατηγικές Επικοινωνίας
Product Strategies/Brands;Στρατηγικές Προϊόντος / Μάρκες
Price Strategies;Στρατηγικές Τιμολόγησης
Strategy and Corporate Social Responsibility;Στρατηγική και Εταιρική Κοινωνική Ευθύνη
IT Strategy;Στρατηγική τεχνολογίας της πληροφορίας
Strategic Marketing;Στρατηγικό Μάρκετινγκ
Leadership Styles;Στυλ Ηγεσίας
Mergers and acquisitions;Συγχωνεύσεις και εξαγορές
Mergers and Takeovers;Συγχωνεύσεις και εξαγορές
Contracts;Συμβάσεις
Consumer Behaviour;Συμπεριφορά Καταναλωτή
Behavioural Decision Theory;Συμπεριφορική Θεωρία Αποφάσεων
Collaboration;Συνεργασία
Aggregate Demand and Aggregate Supply;Συνολική ζήτηση και προσφορά
Cash Flow;Ταμειακές Ροές
Bookkeeping;Τήρηση λογιστικών βιβλίων
What Efficiency is;Τι  είναι αποτελεσματικότητα
Exchange Rates;Τιμές Συναλλάγματος
Segmentation and Positioning;Τμηματοποίηση αγοράς και τοποθέτηση
ICT in business;ΤΠΕ στις επιχειρήσεις
Banking;Τραπεζική
Services Marketing;Υπηρεσίες Marketing
IT Infrastructures;Υποδομές τεχνολογίας πληροφορίας
Profit and Loss Accounts;Υπολογισμός κερδών και ζημιών
Taxation;Φορολογία
Business Finance;Χρηματοδότηση Επιχειρήσεων
Financial Accounting;Χρηματοοικονομική Λογιστική
Financial Markets and Institutions;Χρηματοπιστωτικές αγορές και ιδρύματα

