Science;Наука
Wave amplitude;Амплитуда на  вълната
Particle cosmology;Космология на частиците
Particle theory;Теория на частиците
Wave frequency;Честота на вълната
Remote Laboratories;Дистанционни лаборатории
Analysis Tools;Инструменти за анализ
Accelerators;Ускорители
Adiabatic;Адиабатно
Laws of Thermodynamics;Законите на термодинамиката
Isovolumetric;Изоволуметрично
Isothermal;Изотермичен
Mass;Маса
Material Science;Материалознание
Thermodynamic Cycle;Термодинамичен цикъл
Exo/endothermic;Exo / ендотермичен
HII region;HII област
QCD, jets & gluons ;QCD, струи и глуоните
Aurora;Аврора
Nuclear power plant ;АЕЦ
Asia;Азия
Nitrogenous fertilizers;Азотни торове
Accelerometers;Акселерометри
Topical geographical issues;Актуални географски въпроси
Aliphatic Compounds;Алифатни съединения
Alkali metals;Алкални метали
Alpha radiation;Алфа радиация
Amphibian;Амфибия
Analytical Chemistry;Аналитична химия
Anatomy;Анатомия
Antarctica;Антарктида
Antimatter ;Антиматерия
Aromatic Compounds;Ароматни съединения
Asteroid belt;Астероиден пояс
Asteroids;Астероиди
Astrobiology;Астробиология
Astrometry;Астрометрия
Astronauts;Астронавти
Astronomy;Астрономия
Atlases;Атласи
Atmospheres;Атмосфера
Atmospheric Pressure;Атмосферно налягане
atmospheric phenomenon ;Атмосферно явление
Atoms – generally;Атоми - общо
Atomic Absorption Spectroscopy;Атомна абсорбционна спектроскопия
Atomic structure;Атомна структура
Africa;Африка
Invertebrate;Безгръбначно
Mains electricity safety;Безопасност на мрежовата електроенергия 
Asexual reproduction;Безполово размножаване
Beta radiation;Бета радиация
Binary stars;Бинарни звезди
Organic Agriculture;Биологично земеделие
Biology;Биология
Biomass;Биомаса
Biomes;Биоми
Biosphere;Биосфера
Biotechnology;Биотехнология
Biotope;Биотоп
Domestic appliances;Битова техника
Near-earth objects;Близки до Земята обекти
Mammal;Бозайник
Botany;Ботаника
Botany ;Ботаника
Coasts;Брегове
Variation – generally;Вариация - по принцип
Variation, inheritance and evolution;Вариация, наследство и еволюция
Vertical throw;Вертикално хвърляне
Hydroelectric power plant ;ВЕЦ
Particle interactions with matter ;Взаимодействия на частиците с материята 
Arachnid;Вид от паякообразни
Visible light;Видимата светлина
Types of economic activity;Видове икономическа активност
Rock types;Видове скали
Fossil record;Вкаменелости
Reptile;Влечуго
Human influences on ecosystems;Влиянието на човешката дейност върху екосистемите
Water, landscapes & people - general information;Вода, пейзажи и хора - Обща информация
Water;Води
Water ;Води
Voltage;Волтаж
Weather;Време
Universe – generally;Вселената - като цяло
Second scientific revolution;Втора научна революция
Volcano ;Вулкан
Volcanoes;Вулкани
Hydrocarbons;Въглеводороди
Carbon;Въглероден
air ;Въздух
Air resistance;Въздушно съпротивление
Renewable energy;Възобновяема енергия
Renewable energy ;Възобновяема енергия
Reproduction;Възпроизвеждане
Waves;Вълни
Density waves;Вълни на плътност
Rotation;Въртене
Internal Energy;Вътрешна енергия
Internal Structure;Вътрешна структура
Gas;Газ
Gas pressure and diffusion;Газ под налягане и разпространение
Galaxies and Dwarf galaxies;Галактики и галактики-джуджета
Galactic wind;Галактически вятър
Galaxy clusters;Галактични купове
Gamma rays;Гама лъчи
Gamma radiation;Гама-лъчение
Generators and transformers;Генератори и трансформатори
Genetics;Генетика
Genetic causes of variation and mutation;Генетични причини за изменение и мутация
Genetic engineering;Генно инженерство
Genome;Геном
Geography;География
Geography and Earth Science;География и науки за земята
GIS;Географски информационни системи
Geographical variations in weather & climate;Географски различия във времето и климата
Geographical distribution of economic activity;Географско разпределение на икономическа активност
geology ;Геология
geological phenomenon ;Геоложки феномен
Geomorphological processes - general information;Геоморфоложки процеси - Обща информация
geomorphologic phenomenon ;Геоморфоложки феномен
Geomorphologic phenomenon ;Геоморфоложко явление
Geophysical environment;Геофизична среда
Giants;Гиганти
Main sequence;Главна последователност
Global scale;Глобален мащаб
Global distribution of tectonic activity;Глобално разпределение на тектонична активност
Globes;Глобуси
Big Bang;Големия взрив
Forest ;Гора
Gravitational force and gravity;Гравитационна сила и гравитация
Gravitational lenses;Гравитационни лещи
Gravitational field;Гравитационно поле
Garden;Градина
Gardening;Градинарство
Grouping materials;Групиране на материали
Vertebrate;Гръбначно животно
Darwin;Дарвин
Coupled Motion dynamics ;Двойна   динамика на движението
Distillation;Дестилация
Detectors;Детектори
Particle detectors ;Детектори на частици
Detectors: CCD camera;Детектори: CCD камери
Hertzsprung-Russell diagram;Диаграма на Херцшпрунг-Ръсел
wild animal ;Диво животно
Particle dynamics ;Динамика на частиците
Dynamic Shape;Динамична форма
Dynamometers;Динамометри
Dinosaur;Динозавър
Diffraction;Дифракция
DNA;ДНК
Wood production;Добив на дърво
Extraction of metal from ore;Добив на метали от руди
Domestic animal;Домашно животно
Doppler effect;Доплеров ефект
Supply of resources;Доставка на ресурси
Other influences on ecosystems;Други влияния върху екосистемите
Other geomorphological processes;Други геоморфоложки процеси
Other types of bonding;Други типове връзки
Wavelength;Дължина на вълната
Tree;Дърво
Wood ;Дърво
Evolution - generally;Еволюция - като цяло
European countries outside the European Union;Европейските страни извън Европейския съюз
European Union;Европейския съюз
Everyday materials;Ежедневни материали
Lake ;Езеро
Tongue;Език
Environmental education ;Екологично образование
Ecology;Екология
Ecology ;Екология
Ecosystem ;Екосистема
Ecosystems;Екосистеми
Elastic collision;Еластичен сблъсък
Electrical energy ;Електрическа енергия
Mains electricity - generally;Електрическа мрежа - общо
Electric force;Електрическа сила
Electrical quantities - generally;Електрически величини - като цяло
