Science;Φυσικές Επιστήμες
Alpha radiation;Ακτινοβολία Άλφα
Beta radiation;Ακτινοβολία Βήτα
Gamma radiation;Ακτινοβολία Γάμμα
Background radiation;Ακτινοβολία υποβάθρου
Cosmic background radiation;Ακτινοβολία υποβάθρου
Halos;Άλως
Reflection;Ανάκλαση
Reproduction;Αναπαραγωγικό σύστημα
Open clusters;Ανοικτά σμήνη
Stars;Άστρα 
Star chart;Αστρικός χάρτης
Atmospheres;Ατμόσφαιρα
Gravitational field;Βαρυτικό πεδίο
Gravitational lenses;Βαρυτικοί φακοί
Einstein ring;Δακτύλιος Αϊνστάιν
Refraction index;Δείκτης διάθλασης
Intergalactic medium;Διαγαλαξιακή ύλη
Hertzsprung-Russell diagram;Διάγραμμα Hertzsprung-Russell
Refraction;Διάθλαση
Hubble expansion;Διαστολή Hubble
Binary stars;Διπλά άστρα
Elliptical galaxy;Ελλειπτικός γαλαξίας
Loudness;Ένταση
Extraction of metal from ore;Εξαγωγή μετάλλων από μεταλλεύματα
Extinction;Εξάλειψη (αφανισμός)
Laboratory equipment – generally;Εξοπλισμός εργαστηρίου - γενικά
Extrasolar planets;Εξωηλιακοί πλανήτες
Accelerometers;Επιταχυνσιόμετρα
Work and power;Έργο και ισχύς
Asteroid belt;Ζώνη αστεροειδών
Electric field;Ηλεκτρικό πεδίο
Electromagnetic field;Ηλεκτρομαγνητικό πεδίο
Properties of light - generally;Ιδιότητες του φωτός - γενικά
Gamma ray bursts;Καταιγισμοί ακτίνων γάμμα
Brown dwarfs;Καφέ νάνοι
Comets and meteors;Κομήτες και μετεωρίτες
Magnetic field;Μαγνητικό πεδίο
Black holes;Μαύρες τρύπες
Big Bang;Μεγάλη Έκρηξη
Variable stars;Μεταβλητοί αστέρες
Natural population change;Μεταβολή Φυσικού πληθυσμού
Metals - generally;Μέταλλα - γενικά
Musical instruments;Μουσικά όργανα
Vision;Όραση
Pulsars;Πάλζαρ - παλλόμενη ραδιοπηγή
HII region;Περιοχή HII
Light sources;Πηγές φωτός
Nuclear decay;Πυρηνική διάσπαση
Nuclear fusion;Πυρηνική σύντηξη
Nuclear fission;Πυρηνική σχάση
Galaxy clusters;Σμήνη γαλαξιών 
Conservative force field;Συντηρητικό πεδίο δυνάμεων
Globular clusters;Σφαιρικά σμήνη αστέρων
Supernova remnants;Υπολείμματα υπερκαινοφανούς
Doppler effect;Φαινόμενο Ντόπλερ
Uses of radioactivity, including radioactive dating;Χρήσεις ραδιενέργειας, συμπεριλαμβανομένης της ραδιοχρονολόγησης
Colour;Χρώμα
Impulse;Ώθηση (Ώση)
DNA;DNA
Main sequence;Kύρια ακολουθία
Free electron lasers;Laser ελεύθερων ηλεκτρονίων
Asexual reproduction;Αγενής αναπαραγωγή
wild animal ;Άγρια ζώα
Rural settlements;Αγροτικοί οικισμοί
Adiabatic;Αδιαβατικός
Inertia;αδράνεια
Moment of inertia;Αδρανειακή μάζα
air ;αέρας
Gas;Αέριο
Blood;αίμα
Blood vessels;Αιμοφόρα αγγεία
Senses;Αισθήσεις
Sensors;Αισθητήρες
Irregular galaxy;ακανόνιστος γαλαξίας
Hearing: noise;Ακοή: θόρυβος
Audible ranges;Ακουστική περιοχή συχνοτήτων
Cape;Ακρωτήριο
Coasts;Ακτές
Gamma rays;Ακτίνες Γάμμα
X-rays;Ακτίνες Χ
Radiation;ακτινοβολία
Synchrontron radiation ;Ακτινοβολία Σύγχροτρον
Aliphatic Compounds;αλειφατικές ενώσεις
Fishery;αλιεία
Alkali metals;Αλκαλιμέταλλα
Changes in distribution of economic activity & their impact;Αλλαγές στην κατανομή της οικονομικής δραστηριότητας και επιπτώσεις 
Other geomorphological processes;Άλλες γεωμορφολογικές διεργασίες
Other influences on ecosystems;Άλλες επιδράσεις στα οικοσυστήματα
Solar-terrestrial relations;Αλληλεπίδραση Ήλιου - Γης
Particle interactions with matter ;Αλληλεπίδραση σωματιδίων με την ύλη
Halogens;Αλογόνα
Amphibian;αμφίβιο
Reflection;Ανάκλαση
Recycling ;Ανακύκλωση
Invariant mass ;Αναλλοίωτη μάζα
Analytical Chemistry;Αναλυτική Χημεία 
Renewable energy ;Ανανεώσιμες πηγές ενέργειας
Breeding;αναπαραγωγή
Reproductive system;αναπαραγωγικό σύστημα
Development & quality of life;Ανάπτυξη και ποιότητα ζωής
Anatomy;Ανατομία
Flowering plants/parts of plants;Ανθοφόρα φυτά / μέρη φυτών
Carbon and nitrogen cycles;Άνθρακα και κύκλοι αζώτου 
Carbon;άνθρακας
Human processes;Ανθρώπινα διαδικασίες
Human patterns;Ανθρώπινα πρότυπα
Human influences on ecosystems;Ανθρώπινες επιδράσεις στα οικοσυστήματα
Human health: teeth;Ανθρώπινη υγεία: δόντια
Human health: smoking;Ανθρώπινη υγεία: κάπνισμα
Humans and animals;Άνθρωποι και άλλα ζώα
Detectors;Ανιχνευτές
Particle detectors ;Ανιχνευτές σωματιδίων
Detectors: CCD camera;Ανιχνευτές: κάμερα CCD
Inorganic chemistry ;Ανόργανη Χημεία
Antarctica;Ανταρκτική
Displacement reactions;Αντιδράσεις αντικατάστασης
Near-earth objects;Αντικείμενα κοντά στη Γη
Conflicting demands on environments;Αντικρουόμενες απαιτήσεις για περιβάλλοντα
Air resistance;αντίσταση αέρα
Reversible reactions;Αντιστρεπτές χημικές αντιδράσεις
Antimatter ;Αντι-ύλη
Endangered species;Απειλούμενα είδη
Endangered species ;Απειλούμενα είδη
fossil ;απολίθωμα
Remote Laboratories;Απομακρυσμένα Εργαστήρια
Distillation;απόσταξη
Mass loss;Απώλεια μάζας
Arachnid;αραχνοειδές έντομο
Aromatic Compounds;αρωματικές ενώσεις
Weak interactions: electroweak ;Ασθενείς αλληλεπιδράσεις: ηλεκτροασθενείς
Weak interactions: quarks & leptons;Ασθενείς αλληλεπιδράσεις: κουάρκ & λεπτόνια
Asia;Ασία
Invertebrate;ασπόνδυλα
Constellations;Αστερισμοί
Asteroids;Αστεροειδείς
Observatories;Αστεροσκοπεία
Urban settlements;Αστικοί οικισμοί
Dust;Αστρική σκόνη
Gas;Αστρικό αέριο
Astrobiology;Αστροβιολογία
Astrometry;Αστρομετρία
Astronauts;Αστροναύτες
Astronomy;Αστρονομία
Kuiper belt objects;Αστρονομία: Aντικείμενα της Ζώνης Kuiper
Neutron stars;Αστρονομία: Αστέρες νετρονίων
Origin and evolution of the universe;Αστρονομία: Δημιουργία και εξέλιξη του Σύμπαντος
Solar system;Αστρονομία: Έκλειψη Ηλίου
Lunar eclipse;Αστρονομία: Έκλειψη της Σελήνης
Light curve;Αστρονομία: Καμπύλωση φωτός
Rockets;Αστρονομία: Πύραυλοι
Nucleosynthesis;Αστρονομία: Σύνθεση πυρήνων
Coordinates;Αστρονομικές συντεταγμένες
Mains electricity safety;Ασφάλεια στις παροχές ρεύματος
Atlases;Άτλαντες
Atmospheric Pressure;ατμοσφαιρική πίεση
atmospheric phenomenon ;ατμοσφαιρικό φαινόμενο
Atoms – generally;Άτομα - γενικά
Other types of bonding;Άτομα και μόρια: Άλλα είδη δεσμών
Bonding – generally;Άτομα και μόρια: Δεσμοί - γενικά
Ionic bonds;Άτομα και μόρια: Ιοντικοί δεσμοί
Nucleus: protons, neutrons;Άτομα και μόρια: Πυρήνας: πρωτόνια, νετρόνια
Role of electrons in reactions;Άτομα και μόρια: Ρόλος των ηλεκτρονίων στις χημικές αντιδράσεις
Atomic structure;ατομική δομή
Africa;Αφρική
Weight;Βάρος
Gravitational force and gravity;Βαρυτική δύναμη και βαρύτητα
Biology;Βιολογία 
Organic Agriculture;Βιολογική Γεωργία
Biomass;Βιομάζα
Industrial devices;Βιομηχανικές συσκευές
Biosphere;Βιόσφαιρα
Biotechnology;Βιοτεχνολογία
Biotope;βιότοπος
North America;Βόρεια Αμερική
Botany ;Βοτανική
Botany;Βοτανολογία
Mountain;Βουνό
Mountain ;βουνό
Galactic wind;Γαλαξιακός άνεμος
Milky Way;Γαλαξίας
Galaxies and Dwarf galaxies;Γαλαξίες και γαλαξίες νάνοι
Genetic causes of variation and mutation;Γενετικές αιτίες διαφοροποίησης και μετάλλαξης
Genetics;Γενετική
Genetic engineering;Γενετική μηχανική
Generators and transformers;Γεννήτριες και μετασχηματιστές
Geography;Γεωγραφία
Geography and Earth Science;Γεωγραφία και Γεωλογία
GIS;Γεωγραφικά πληροφοριακά συστήματα
Geographical variations in weather & climate;Γεωγραφικές διακυμάνσεις καιρού και κλίματος
Geographical distribution of economic activity;Γεωγραφική κατανομή της οικονομικής δραστηριότητας
Earth science;Γεωλογία
geology ;γεωλογία
Geological phenomenon ;γεωλογικά φαινόμενα
geological phenomenon ;γεωλογικό φαινόμενο
Landforms;Γεωμορφές
Geomorphologic phenomenon ;γεωμορφολογικά φαινόμενα
Geomorphological processes - general information;Γεωμορφολογικές διεργασίες - γενικές πληροφορίες
geomorphologic phenomenon ;γεωμορφολογικό φαινόμενο
Geophysical environment;γεωφυσικό περιβάλλον
Earth;Γη
Giants;Γίγαντες
Tongue;γλώσσα
Genome;γονιδίωμα
Fertilisation;Γονιμοποίηση
Laboratory glassware;Γυάλινα είδη εργαστηρίου
Angular acceleration;Γωνιακή επιτάχυνση
Angular velocity;γωνιακή ταχύτητα
Darwin;Δαρβίνος
Forestry;δασοκομία
Forest ;δάσος
Dinosaur;δεινόσαυρος
Tree;δέντρο
Second scientific revolution;Δεύτερη Επιστημονική Επανάσταση
Formation;Δημιουργία
Erosion;Διάβρωση
Weathering;Διάβρωση
Online Laboratories;Διαδικτυακά Εργαστήρια
Conduction, convection and evaporation;Διάδοση θερμότητας με επαφή και με ρεύματα
Refraction;Διάθλαση
