Science;Zinātne
Amphibian;Abinieks
AC/DC;AC/DC
Integumentary System;Ādas un zemādas sistēma
Adiabatic;Adiabātisks
Africa;Āfrika
Landscape;Ainava
Pancreas;Aizkuņģa dziedzeris
Liver;Aknas
Accelerometers;Akselometri
Topical geographical issues;Aktuālie ģeogrāfiskie jautājumi
Alpha radiation;Alfa radiācija
Aliphatic Compounds;Alifātiskie savienojumi
Ampere's law;Ampērs likums
Analytical Chemistry;Analītiskā ķīmija
Analysis Tools;Analīzes rīki
Anatomy;Anatomija
Antarctica;Antarktīda
Antimatter ;Antimatērijas
Hazards/geomorphological;Apdraudējumi / ģeomorfoloģiskās
Hazards & human responses;Apdraudējumi un cilvēka atbildes reakcija
Endangered species;Apdraudētās sugas
Endangered species ;Apdraudētās sugas
Urban settlements;Apdzīvotām vietām
Environment ;Apkārtējā vide
Environmental protection;Apkārtējās vides aizsardzība
Environmental Education;Apkārtējās vides izglītība
Circular motion;Apļveida kustībām
Settlements: change;Apmetnes: izmaiņas
Cape;Apmetnis
Settlements: size/character/function;Apmetņu: izmērs / raksturus / funkcijas
Eclipses;Aptumsumi
Combining forces;Apvienojot spēkus
Unification ;Apvienošana
Coupled Motion dynamics ;Apvienotas dinamiskās kustības
Environmental causes of variation;Ārējās vides iemesli variācijām
Aromatic Compounds;Aromātiskie savienojumi
Extraterrestrial life;Ārpuszemes dzīvība
Blood;Asinis
Circulatory System;Asinsrites sistēma
Blood vessels;Asinsvadi
Asteroids;Asteroīds 
Asteroid belt;Asteroīdu josla
Astrobiology;Astrobioloģija
Astrometry;Astrometrija
Astronauts;Astronauts
Astronomy;Astronomija
Separation - generally;Atdalīšana - vispārīgi
Separation - other;Atdalīšana - vispārīgi
Reversible reactions;Atgriezeniskas reakcijas
Renewable energy;Atjaunojamā enerģija
Renewable energy ;Atjaunojamā enerģija
Waste management ;Atkritumu apsaimniekošana
Atlases;Atlanti
Atmospheres;Atmosfēra
atmospheric phenomenon ;atmosfēras parādība
Atmospheric Pressure;Atmosfēras spiediens
Nuclear power plant ;Atomelektrostacija
Nuclear energy ;Atomenerģija
Atoms – generally;Atomi - vispār
Atomic Absorption Spectroscopy;Atomu absorbcijas spektroskopija
Atomic structure;Atomu struktūra
Location of settlements;Atrašanās vietas apmetnes
Velocity;Ātrums
Speed in media;Ātrums medijos
Differences in development between countries;Atšķirības attīstībā starp valstīm
Differences in development within countries;Atšķirības attīstības valstu ietvaros
Reflection;Atspoguļojums
Development & quality of life;Attīstība un dzīves kvalitāte
Open clusters;Atvēri klasteri
Tissues;audi
Breeding;Audzēšana
Plants;Augi
Fruit;Auglis
Soil influences on ecosystems;Augsnes ietekme uz ekosistēmām
High Energy Physics;Augstas enerģijas fizika
